Full Name,ID Number,Manager ID,Gender,Birthday,Role,Full time/Part time/Contract,Country,Department,Grade,Current Salary,Current Bonus,Pension,Email Address,NI or Tax number,Other Unique Identifier,Ethnicity,FTE,Start Date,Leave Date,Current Employee,Area,How recruited,Relocation costs,Recruitment cost,Reason for leaving,Cost of termination,Ccy,Healthcare costs,Other benefits,Expenses,Share based payments,Performance Ranking,Engagement index,Absence Days,Absence Type,Bradford Index,Training Cost,Training Day,Successor,Total payroll cost,Total benefits,Payroll taxes,Total annual compensation,Monthly cost Including payroll taxes,Age,Tenure Years,Years to retirement,Sales targets,Span of Control,Absence detail,Team Engagement,Customer Satisfaction,Team Performance,Personal Performance,Role Start Date,Prior period performance ranking,Absence Instances
Tegan Murray,25,8,female,22/09/1979,Sales Ledger Clerk,Full time,UK,Finance,2,22081,0,0,Tegan.Murray@realco.com,BD463892D,,,1,25/06/2007,,Y,Head Office,Advert,,500,,,GBP,1500,0,0,0,4.3,6.87,8,,128,,,,22081,1500,3069,26650,2221,41.95,5.32,23.06,node.links.from.budget,0,,NaN,,,,10/01/2011,3.225,4
Riley Norton,53,4,male,22/01/1956,Secretary,Full time,UK,Admin,2,26000,0,0,Riley.Norton@realco.com,AE637069H,,,1,24/10/2006,,Y,Head Office,Advert,,500,,,GBP,1000,0,0,0,6,6.82,7,,175,,,,26000,1000,3614,30614,2551,37.75,5.99,27.26,node.links.from.budget,0,,NaN,,,,21/02/2011,6.6,5
Mia Tomlinson,52,2,female,07/11/1955,Secretary,Full time,UK,Admin,2,28000,0,0,Mia.Tomlinson@realco.com,AA596758D,,,1,22/09/2007,,Y,Head Office,Advert,,500,,,GBP,2000,0,0,0,5,6.38,9,,225,,,,28000,2000,3892,33892,2824,59.59,5.08,5.42,node.links.from.budget,0,,NaN,,,,10/01/2011,6.25,5
Josh Singh,3,1,male,23/05/1958,Executive Assistant,Full time,UK,Executive,3,32323,2172,646,Josh.Singh@realco.com,EA20752I,,,1,13/11/2011,,Y,Head Office,Agency,,5850,,,GBP,1500,0,395.54,0,5.8,6.29,6,Sickness,24,,,,34495,2146,4795,41436,3486,43.66,0.93,21.34,node.links.from.budget,0,Upper limb,NaN,,,,13/11/2011,4.35,2
Tyler Swift,26,1,male,08/09/1977,HR Director,Full time,UK,Executive,6,101141,23692,5057,Tyler.Swift@realco.com,FF562967B,,,1,22/10/2006,,Y,Head Office,Head Hunter,,45000,,,GBP,2500,1500,4500,30000,4.2,7.23,8,,200,,,No,124833,9057,17352,151242,12978,64.21,5.99,0.79,node.links.from.budget,6,,7.578333333,6.4,2,,10/01/2011,3.15,5
Rick Jones,27,26,male,20/08/1974,HR Manager,Full time,UK,HR,5,70821,9683,1416,Rick.Jones@realco.com,CB563240H,,,1,15/02/2012,,Y,Head Office,Agency,,10500,,,GBP,750,0,0,0,5.4,7.25,6,,96,,,Yes,80504,2166,11190,93861,7822,20.58,5.55,44.42,node.links.from.budget,4,,7.2925,6.8,4,,15/02/2012,5.4,4
Zak Baldwin,30,27,male,27/03/1983,HR Assistant,Full time,UK,HR,3,53803,0,0,Zak.Baldwin@realco.com,AF448564J,,,1,10/01/2011,,Y,Head Office,Agency,,6300,,,GBP,750,0,0,0,5,8.24,6,,24,,,,53803,750,7479,62031,5169,20.91,2.56,44.09,node.links.from.budget,0,,NaN,,,,10/01/2011,5.921,2
Mark Williams,31,27,male,30/12/1979,HR Assistant,Full time,UK,HR,3,43217,0,0,Mark.Williams@realco.com,GA359857E,,,1,13/06/2007,,Y,Head Office,Advert,,500,,,GBP,1000,0,0,0,9.8,6.96,0,Sickness,-,,,,43217,1000,6007,50224,4185,31.66,5.35,33.35,node.links.from.budget,0,Asthma,NaN,,,,10/01/2011,9.8,0
Luca Carroll,32,27,male,24/01/1958,HR Assistant,Full time,UK,HR,3,50671,0,0,Luca.Carroll@realco.com,AF445401I,,,1,02/06/2010,,Y,Head Office,Agency,,7200,,,GBP,1500,0,0,0,4,6.78,9,,324,,,,50671,1500,7043,59214,4934,42.17,2.38,22.83,node.links.from.budget,0,,NaN,,,,07/11/2012,5,6
Harry Manning,33,27,male,01/02/1952,HR Assistant,Full time,UK,HR,3,53311,0,0,Harry.Manning@realco.com,EH45735G,,,1,10/01/2011,,Y,Head Office,Agency,,6750,,,GBP,1500,0,0,0,7.3,7.19,6,,54,,,,53311,1500,7410,62221,5185,49.33,6,15.68,node.links.from.budget,0,,NaN,,,,10/01/2011,9.125,3
Jessica Talbot,28,26,female,03/02/1951,HR Manager,Full time,UK,HR,5,74812,11179,1496,Jessica.Talbot@realco.com,BH568879C,,,1,08/11/2010,,Y,Head Office,Agency,,12000,,,GBP,1500,0,0,0,7.9,9,0,,-,,,Yes,85991,2996,11953,100940,8412,43.55,4.8,21.46,node.links.from.budget,4,,7.01,6.7,3,,17/08/2012,8.69,0
Charlie Mellor,34,28,male,28/04/1981,HR Assistant,Part time,UK,HR,3,53889,0,0,Charlie.Mellor@realco.com,EH412169G,,,0.8,21/06/2010,,Y,Head Office,Agency,,7800,,,GBP,2500,0,0,0,8.9,8.4,0,,-,,,,53889,2500,7491,63880,5323,61.71,2.33,3.29,node.links.from.budget,0,,NaN,,,,18/03/2012,8.9,0
Gracie Oliver,35,28,female,25/08/1979,HR Assistant,Full time,UK,HR,3,49186,0,0,Gracie.Oliver@realco.com,CF265574E,,,1,21/01/2010,,Y,Head Office,Advert,,500,,,GBP,750,0,0,0,5,6.16,5,Sickness,5,,,,49186,750,6837,56773,4731,29.87,2.74,35.13,node.links.from.budget,0,Back pain,NaN,,,,18/03/2012,5,1
Andrew Williams,36,28,male,04/10/1953,HR Assistant,Full time,UK,HR,2,51323,0,0,Andrew.Williams@realco.com,FE431289I,,,1,09/12/2008,,Y,Head Office,Internal,,0,,,GBP,1000,0,0,0,6,7.35,5,,20,,,,51323,1000,7134,59457,4955,34.96,3.86,30.04,node.links.from.budget,0,,NaN,,,,10/01/2011,5.4,2
Barry Taylor,37,28,male,09/09/1978,HR Assistant,Full time,UK,HR,2,45343,0,0,Barry.Taylor@realco.com,DJ168555J,,,1,17/08/2011,,Y,Head Office,Internal,0,0,,,GBP,2500,0,0,0,4.2,6.13,10,,360,,,,45343,2500,6303,54146,4512,60.52,2.65,4.48,node.links.from.budget,0,,NaN,,,,17/08/2011,4.2,6
Thomas Richard,29,26,male,06/05/1976,HR Manager,Full time,UK,HR,5,74576,11091,1492,Thomas.Richard@realco.com,CF936728E,,,1,08/10/2010,,Y,Head Office,Internal,0,0,,,GBP,2500,0,0,0,5,7.78,9,,225,,,Yes,85667,3992,11908,101567,8464,64.83,2.03,0.18,node.links.from.budget,4,,6.73,4.9,2,,16/06/2011,3.75,5
Dane Hill,38,29,male,27/11/1959,HR Assistant,Full time,UK,HR,2,52681,0,0,Dane.Hill@realco.com,EC570141G,,,1,10/01/2009,,Y,Head Office,Advert,,500,,,GBP,2000,0,0,0,4.6,6.42,6,,54,,,,52681,2000,7323,62004,5167,51.87,3.77,13.13,node.links.from.budget,0,,NaN,,,,09/02/2011,5.75,3
Zoe Francis,39,29,female,08/07/1957,HR Assistant,Full time,UK,HR,2,46832,0,0,Zoe.Francis@realco.com,HA868898I,,,1,03/03/2011,14/03/2010,N,Head Office,Agency,,6150,Career Development,,GBP,2500,0,0,0,8.8,5.92,0,Sickness,-,,,,46832,2500,6510,55842,4653,62.97,3.03,2.04,node.links.from.budget,0,Flu,NaN,,,,11/10/2011,8.8,0
Daniel Moody,40,29,male,01/11/1959,HR Assistant,Part time,UK,HR,2,45550,0,0,Daniel.Moody@realco.com,HB935440H,,,0.8,16/11/2009,,Y,Head Office,Agency,,8250,,,GBP,1000,0,0,0,5.8,6.19,0,,-,,,,45550,1000,6332,52882,4407,32.89,2.92,32.11,node.links.from.budget,0,,NaN,,,,10/01/2011,7.25,0
Tasha Allred,41,29,female,25/12/1953,HR Assistant,Full time,UK,HR,2,45311,0,0,Tasha.Allred@realco.com,IH637109E,,,1,16/10/2009,,Y,Head Office,Agency,,7800,,,GBP,750,0,0,0,6.7,8.39,0,,-,,,,45311,750,6298,52359,4363,22.57,6.01,42.43,node.links.from.budget,0,,NaN,,,,30/11/2011,5.605,0
Daniel McGee,42,26,male,13/01/1976,Head of Recruitment,Full time,UK,HR,6,82134,37494,1643,Daniel.McGee@realco.com,AE883512E,,,1,04/10/2008,,Y,Head Office,Agency,,10650,,,GBP,1000,0,1800,0,4.8,7.51,10,,640,,,Yes,119628,2643,16628,138898,11725,35.37,4.04,29.63,node.links.from.budget,5,,7.028,5.6,3,,10/01/2011,6,8
Noah Nash,43,42,male,20/08/1955,Recruitment resource,Full time,UK,HR,3,47334,45734,0,Noah.Nash@realco.com,BE91658I,,,1,24/02/2012,,Y,Head Office,Advert,,500,,,GBP,2000,0,0,0,4,5.77,10,,250,,,,93068,2000,12936,108005,9000,53.41,0.65,11.59,node.links.from.budget,0,,NaN,,,,24/02/2012,5,5
Zachary Matthews,44,42,male,03/01/1980,Recruitment resource,Full time,UK,HR,3,28262,15219,0,Zachary.Matthews@realco.com,DD649211G,,,1,24/07/2008,,Y,Head Office,Advert,,500,,,GBP,750,0,0,0,6,7.38,5,,5,,,,43480,750,6044,50274,4189,26.87,4.24,38.13,node.links.from.budget,0,,NaN,,,,10/01/2011,4.5,1
Johnny Gomez,45,42,male,06/11/1982,Recruitment resource,Full time,UK,HR,3,46526,44442,0,Johnny.Gomez@realco.com,IJ277889E,,,1,23/09/2008,,Y,Head Office,Advert,,500,,,GBP,500,0,0,0,8.3,7.7,6,,96,,,,90968,500,12645,104113,8676,19.36,4.07,45.64,node.links.from.budget,0,,NaN,,,,10/07/2011,10,4
Scott Knowles,46,42,male,04/05/1982,Recruitment resource,Full time,UK,HR,3,37028,29244,0,Scott.Knowles@realco.com,AC950104G,,,1,21/01/2008,,Y,Head Office,Advert,,500,,,GBP,2000,0,0,0,5.8,7.44,5,,45,,,,66272,2000,9212,77484,6457,55.29,4.75,9.71,node.links.from.budget,0,,NaN,,,,05/07/2011,7.25,3
Bill Ha,54,42,male,14/12/1955,Secretary,Full time,UK,Admin,2,32000,0,0,Bill.Ha@realco.com,FC924399B,,,1,22/02/2007,13/02/2011,N,Head Office,Advert,,500,Redundancy,5000,GBP,750,0,0,0,6.3,6.85,0,Sickness,-,,,,32000,750,4448,37198,3100,25.09,3.98,39.91,node.links.from.budget,0,Other,NaN,,,,10/01/2011,4.725,0
Mohammed Sanderson,47,26,male,17/07/1978,Head of Admin,Full time,UK,Admin,4,47000,0,940,Mohammed.Sanderson@realco.com,IB796296H,,,1,29/10/2007,,Y,Head Office,Advert,,500,,,GBP,1000,0,1800,0,6,6.2,5,,45,,,No,47000,1940,6533,55473,4773,35.12,4.98,29.88,node.links.from.budget,4,,7.6075,6.5,5,,10/01/2011,7.5,3
Harvey Morris,48,47,male,06/09/1982,Admin Assistant,Full time,UK,Admin,2,23000,0,0,Harvey.Morris@realco.com,HG17105I,,,1,29/06/2012,,Y,Head Office,Agency,,3450,,,GBP,2500,0,0,0,7,7.57,3,Sickness,3,,,,23000,2500,3197,28697,2391,62.15,0.3,2.85,node.links.from.budget,0,Asthma,NaN,,,,29/06/2012,5.25,1
Donna Lawrence,49,47,female,31/05/1984,Admin Assistant,Full time,UK,Admin,2,23000,0,0,Donna.Lawrence@realco.com,BB477153E,,,1,02/03/2008,,Y,Head Office,Agency,,3450,,,GBP,750,0,0,0,3.5,6.77,6,,24,,,,23000,750,3197,26947,2246,24.11,4.63,40.89,node.links.from.budget,0,,NaN,,,,10/01/2011,3.15,2
Bailey Johnson,50,47,male,24/12/1959,Admin Assistant,Full time,UK,Admin,2,23000,0,0,Bailey.Johnson@realco.com,BC214780B,,,1,04/04/2009,,Y,Head Office,Agency,,3450,,,GBP,1500,0,0,0,7.2,8.39,0,,-,,,,23000,1500,3197,27697,2308,48.06,3.54,16.94,node.links.from.budget,0,,NaN,,,,10/01/2011,9,0
Mohammad Lamb,57,47,male,20/02/1957,Secretary,Part time,UK,Admin,2,35000,0,0,Mohammad.Lamb@realco.com,CH145435B,,,0.8,18/09/2008,,Y,Head Office,Internal,0,0,,,GBP,1500,0,0,0,6,7.7,6,,54,,,,35000,1500,4865,41365,3447,47.42,4.08,17.59,node.links.from.budget,0,,NaN,,,,17/12/2012,7.5,3
Bryan Korn,51,26,male,10/03/1955,Secretary,Full time,UK,Admin,2,34000,0,0,Bryan.Korn@realco.com,DH911504H,,,1,06/05/2011,,Y,Head Office,Agency,,5100,,,GBP,2500,0,0,0,7,7.73,0,,-,,,,34000,2500,4726,41226,3436,62.53,1.45,2.47,node.links.from.budget,0,,NaN,,,,06/05/2011,7,0
Charles Farias,58,1,male,25/12/1951,Sales Director,Full time,UK,Sales,8,212046,26591,15903,Charles.Farias@realco.com,DJ241847A,,,1,08/10/2006,,Y,Head Office,Advert,,500,,,GBP,2000,5000,21301.25,50000,5.3,6.63,9,Sickness,225,,,,238637,22903,33171,294711,26334,53.33,6.03,11.67,0,5,Stress,7.092,,,,10/01/2011,5.3,5
Libby Lucas,55,58,female,04/03/1983,Secretary,Full time,UK,Admin,2,33000,0,0,Libby.Lucas@realco.com,IA808917H,,,1,06/10/2011,,Y,Head Office,Advert,,500,,,GBP,1000,0,0,0,5,6.68,8,Sickness,128,,,,33000,1000,4587,38587,3216,34.47,1.04,30.54,node.links.from.budget,0,Other,NaN,,,,06/10/2011,6.25,4
Chelsea Walsh,59,58,female,05/09/1947,Sales manager,Full time,UK,Sales,7,110466,78494,5523,Chelsea.Walsh@realco.com,FG792294E,,,1,11/05/2008,,Y,South,Agency,,15750,,,GBP,2000,1500,9000,0,4.4,5.64,5,,5,,,No,188960,9023,26265,224249,19437,58.63,4.44,6.38,0,10,,7.397,7.1,3,,21/07/2011,3.3,1
Harriet Humphries,56,59,female,13/05/1980,Secretary,Full time,UK,Admin,2,34000,0,0,Harriet.Humphries@realco.com,FD91303D,,,1,30/06/2011,,Y,Head Office,Internal,,0,,,GBP,2000,0,0,0,6,6.52,7,,112,,,,34000,2000,4726,40726,3394,54.81,1.3,10.19,node.links.from.budget,0,,NaN,,,,30/06/2011,6,4
Travis Leong,63,59,male,18/05/1954,Sales person,Full time,UK,Sales,6,89646,144692,1793,Travis.Leong@realco.com,IF814130F,,,1,02/12/2010,,Y,South,Agency,,12600,,,GBP,2000,1000,9000,0,6,7.77,0,,-,,,,234339,4793,32573,271705,23392,52.01,1.88,13,0,0,,NaN,,,,08/06/2011,4.5,0
Jason Willis,64,59,male,24/11/1941,Sales person,Full time,UK,Sales,5,85537,83048,1711,Jason.Willis@realco.com,BC757894J,,,1,01/04/2010,,Y,South,Advert,,500,,,GBP,2000,1000,9000,0,5,6.36,6,,24,,,,168585,4711,23433,196729,17144,57.39,2.55,7.61,0,0,,NaN,,,,10/01/2011,5,2
Charlie Goodwin,65,59,male,20/11/1956,Sales person,Full time,UK,Sales,4,87857,117861,1757,Charlie.Goodwin@realco.com,CG86298B,,,1,29/12/2007,,Y,South,Advert,,500,,,GBP,2500,1000,11663.9,0,7.5,7.58,3,Sickness,3,,,,205718,5257,28595,239570,20936,64.92,4.81,0.08,0,0,Upper limb,NaN,,,,10/01/2011,5.625,1
Declan Reid,66,59,male,20/04/1949,Sales person,Full time,UK,Sales,6,84915,73728,1698,Declan.Reid@realco.com,BE46239I,,,1,22/03/2010,,Y,South,Advert,,500,,,GBP,750,1000,9000,0,8.9,8.63,0,,-,,,,158643,3448,22051,184142,16095,26.46,2.58,38.54,0,0,,NaN,,,,11/01/2011,8.9,0
Denise Towner,67,59,female,08/09/1981,Sales person,Full time,UK,Sales,4,84880,73203,1698,Denise.Towner@realco.com,IB187557E,,,1,10/06/2007,,Y,South,Advert,,500,,,GBP,1500,1000,9000,0,7,8.15,0,,-,,,,158083,4198,21974,184254,16105,40.56,5.36,24.44,0,0,,NaN,,,,10/01/2011,7,0
Melba Wilmore,84,59,female,05/03/1984,Sales Assistant,Full time,UK,Sales,3,54974,0,0,Melba.Wilmore@realco.com,HA709724B,,,1,29/10/2007,,Y,South,Agency,,8550,,,GBP,1500,0,0,0,5,7.34,6,,54,,,,54974,1500,7641,64115,5343,48.77,4.98,16.24,0,0,,NaN,,,,10/01/2011,5,3
Thomas Miles,85,59,male,02/10/1942,Sales Assistant,Full time,UK,Sales,4,57248,0,0,Thomas.Miles@realco.com,HA54219D,,,1,06/08/2010,,Y,South,Agency,,8700,,,GBP,1000,0,0,0,9,7.25,5,,45,,,,57248,1000,7957,66205,5517,37.44,2.2,27.56,0,0,,NaN,,,,30/10/2012,9,3
Jordan Bell,86,59,male,03/05/1982,Sales Assistant,Full time,UK,Sales,3,56762,0,0,Jordan.Bell@realco.com,GF359089B,,,1,02/02/2010,,Y,South,Internal,,0,,,GBP,1500,0,0,0,2,6.87,8,,200,,,,56762,1500,7890,66152,5513,45.17,2.71,19.84,0,0,,NaN,,,,28/12/2011,2.5,5
Ryan Savage,87,59,male,19/07/1980,Sales Assistant,Full time,UK,Sales,5,50236,0,0,Ryan.Savage@realco.com,HH845926E,,,1,06/01/2010,,Y,South,Internal,,0,,,GBP,500,0,0,0,7.7,7.5,6,Sickness,96,,,,50236,500,6983,57719,4810,19.15,2.78,45.85,0,0,Injury,NaN,,,,10/01/2011,5.775,4
Hannah Reid,60,58,female,11/01/1953,Sales manager,Full time,UK,Sales,7,110987,82404,5549,Hannah.Reid@realco.com,AF734742F,,,1,24/01/2009,,Y,East,Agency,,15600,,,GBP,750,1500,9000,0,7.8,7.64,0,,-,,,Yes,193391,7799,26881,228072,19756,26.87,3.73,38.13,0,9,,7.394444444,7.9,7,,25/06/2011,6.956,0
Sarah Cole,68,60,female,24/03/1980,Sales person,Full time,UK,Sales,5,82071,31065,1641,Sarah.Cole@realco.com,FC639380I,,,1,19/09/2009,,Y,East,Agency,,13200,,,GBP,1000,1000,9000,0,5,6.58,10,,250,,,,113136,3641,15726,132503,11792,36.58,3.08,28.42,0,0,,NaN,,,,27/11/2012,6.25,5
